Series Name,Series Code,Country Name,Country Code,2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Afghanistan,AFG,..,..,10.8584403991699,..,9.96378993988037,..,..,..,8.31087017059326,..,..,3.75560998916626,..,4.02480983734131,..,..,..,..,1.38966000080109,1.38107001781464,..,..,..,..,..,..,..,..,..,..,..,..,2.46528005599976,..,..,1.88179004192352,2.37948989868164,..,..,..,2.19055008888245,..,..,2.0331699848175,1.90880000591278,1.4954400062561,1.34808003902435,1.19384002685547,1.09765005111694,1.17183995246887,1.01449000835419,0.97723001241684,0.806509971618652,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Albania,ALB,62.731990814209,60.3175811767578,61.392578125,62.0760917663574,56.6088714599609,58.6535110473633,59.2744903564453,62.9865608215332,66.8260116577148,65.3152923583984,59.5761795043945,49.6660118103027,45.0025787353516,34.2157402038574,33.4154510498047,32.1192588806152,27.7050094604492,23.5391502380371,19.8219509124756,16.3815498352051,15.9305896759033,15.4916801452637,15.232159614563,14.5365200042725,13.4036703109741,12.585599899292,10.8271703720093,9.96251010894775,10.3690004348755,10.9803495407104,9.19696998596191,8.84414958953857,8.22387027740479,7.87123012542725,7.3299298286438,6.81339979171753,6.60047006607056,6.30606985092163,5.76454019546509,5.10438013076782,..,4.3221697807312,..,..,4.79421997070312,..,..,..,..,..,12.7610702514648,11.9989099502563,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Algeria,DZA,53.4012489318848,54.2099914550781,53.6140289306641,54.1856307983398,53.1637001037598,49.3779106140137,44.1052894592285,38.3309783935547,36.0622482299805,35.4959411621094,33.7081413269043,32.6073913574219,30.9776496887207,30.7553691864014,..,23.7742099761963,21.5141696929932,20.8293895721436,18.9953498840332,18.3539600372314,17.128870010376,15.4430103302002,..,13.7040195465088,..,..,11.7105197906494,10.2635097503662,10.4451398849487,10.9110403060913,11.0321702957153,10.8854999542236,10.1434297561646,..,8.68647956848145,8.86793041229248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5736408233643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Andorra,AND,34.4803504943848,15.204270362854,15.0982704162598,15,15.3940296173096,15.4369401931763,15.1089096069336,13.8819599151611,13.7001399993896,14.7599496841431,13.2810401916504,..,..,..,11.742130279541,..,9.31690979003906,7.87655019760132,7.65849018096924,7.34165000915527,6.82690000534058,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Angola,AGO,..,..,..,11.0613594055176,9.35254287719727,9.65568923950195,9.66034030914307,8.68379020690918,..,9.11637020111084,..,6.3326301574707,..,..,..,..,2.48175001144409,2.55246996879578,2.07171010971069,2.77182006835938,0.754029989242554,..,..,0.531930029392242,0.588230013847351,..,..,..,..,..,0.555729985237122,0.589290022850037,0.580709993839264,0.552250027656555,0.566200017929077,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,24.93044090271,15.0042104721069,16.6028099060059,14.8269901275635,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Argentina,ARG,..,107.130661010742,99.266227722168,95.0775527954102,90.9728317260742,89.2329406738281,86.6178817749023,83.762580871582,81.1694107055664,78.7686614990234,78.4559097290039,77.4296112060547,74.1875305175781,71.0374603271484,68.816291809082,66.9094467163086,67.1185913085938,63.732349395752,64.8878479003906,64.4024505615234,62.0592613220215,58.791690826416,54.3332710266113,49.6384315490723,47.9915618896484,..,..,..,37.1375999450684,..,..,38.2797012329102,..,..,..,39.4006881713867,37.5073890686035,35.5128898620605,28.7928295135498,24.9827709197998,23.9549007415771,23.1923408508301,21.7159004211426,22.1204700469971,21.2509994506836,23.9647407531738,27.011739730835,27.0771598815918,22.8830108642578,19.7516307830811,16.6208095550537,15.4409799575806,13.3775901794434,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Armenia,ARM,59.8064498901367,58.7563095092773,53.3061294555664,53.3068199157715,56.1650505065918,53.5907592773438,51.7460098266602,45.4674301147461,44.411018371582,41.6240310668945,41.4842185974121,47.8231010437012,47.7453117370605,47.3799514770508,45.9996299743652,44.433708190918,41.8117218017578,38.3384399414062,37.0803489685059,36.6645317077637,35.8594512939453,33.6579399108887,35.331470489502,34.5188789367676,32.2960205078125,21.6399097442627,16.0046005249023,18.2080593109131,17.9417705535889,21.5052890777588,22.8578491210938,23.4980907440186,21.9700393676758,20.9737091064453,19.4931793212891,..,18.4195194244385,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Aruba,ABW,..,..,..,..,..,..,18.4336795806885,17.2689609527588,17.6807403564453,16.643180847168,37.3734512329102,37.1072883605957,37.2204513549805,36.1600494384766,37.2363395690918,36.7952499389648,34.0321807861328,33.9185104370117,27.8385906219482,27.6867008209229,26.8239307403564,27.7578907012939,28.4734802246094,26.0681400299072,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
